0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
3.3529751,7.0039997,2.8020382,6.3642077,8.512501,6.0141916,3.7312171,2.4465327,1.6267457,3.176171,5.34006,8.3948765,7.884125,8.359678,1.8686212,3.1753402,4.252222,2.421092,2.68775,6.170117,6.5966854,0.61717963,2.0030181,2.2148077,9.237553,2.0014677,0.39085487,4.6869135,4.511097,1.8265982,0.833855,4.4821553,4.6397367,2.5888712,3.0852406,8.386297,0.59512866,5.668129,4.049379,4.3716373,3.036146,3.9569461,2.0558684,7.1866207,1.366057,3.865848,6.532122,0.8543157,-0.62097484,5.149884
2.1707854,3.897847,0.9624913,6.1688304,3.5651019,3.4119875,1.7853421,3.9100428,0.80334234,2.1440558,3.0444238,5.35746,3.810292,5.8734026,1.2534212,1.2766294,1.7277071,0.7129001,-0.27695838,0.8475298,3.7170286,0.66664356,2.8711822,-0.053558286,3.6802258,0.1701142,-1.1339287,0.82489246,1.550875,0.13993387,0.22430734,2.137625,2.5222442,-0.371382,0.42643738,6.8159647,-0.6254997,1.6132056,1.9700764,2.5912275,0.104004666,-0.0045484337,-0.99408597,4.1463056,0.9396123,-1.0107508,4.812676,-0.45130154,-1.6614106,3.0839546
4.184907,3.3225718,0.8026777,2.873515,8.165437,3.58901,1.5855998,1.8302982,2.4989505,3.3723443,3.823621,7.748488,4.3718734,7.4616957,1.6022209,3.4541106,5.2964935,1.6425636,2.440022,-0.31838572,5.749791,0.7923097,4.7313333,-1.1967885,4.0697184,0.2585059,-0.4488886,-1.0554178,2.1931527,1.1025373,-0.5961076,3.2519457,1.326291,-1.3493315,-0.33374128,10.459335,0.39630964,3.7178688,2.219439,2.0875256,0.14632025,1.79576,-0.9395177,7.066186,1.4045732,-0.194964,7.4718003,-0.3250875,-2.4076965,2.3107283
1.4436553,3.0970562,0.051793355,-1.0602521,8.032511,2.8442483,-1.2466357,2.179987,3.1443741,1.8878715,3.5912638,8.354188,2.7865572,7.2831416,0.63861847,3.6451643,3.759474,0.70785534,-0.6415789,-1.354688,5.839549,-2.102535,3.428991,-2.2841372,1.157237,-1.820455,0.25222802,-0.5615252,1.5683401,-1.3829453,-0.21968265,2.737604,0.021053206,-2.9680903,-0.09384118,10.335145,0.31737253,1.5749017,0.6899871,1.6013292,1.3227534,0.864157,-2.9214835,7.443033,0.7479859,0.07717668,8.2338,0.77716213,-2.841778,1.5666838
1.38039e-14,-6.9807365e-13,-5.1632476e-14,2.8649161e-13,-5.439503e-13,-3.5246112e-13,-4.740498e-13,7.0380046e-13,1.2488058e-14,-1.6900096e-13,-8.952384e-13,-9.068028e-13,-7.194796e-13,7.0137825e-13,-1.8186302e-13,-8.4187445e-14,-6.453433e-13,-2.1952804e-13,-1.4316236e-12,-5.7488595e-13,2.1390748e-13,2.9667504e-13,7.1822794e-13,3.716673e-13,-1.8697874e-13,-1.46691e-14,2.667583e-13,8.769578e-13,-2.566815e-13,-2.0338981e-13,6.5493157e-13,6.4311637e-13,2.2793562e-13,-1.1497353e-13,-9.536165e-13,4.8792025e-13,-1.3502418e-13,3.4413862e-13,5.6988194e-14,-1.4884503e-12,4.3767854e-13,-8.1626876e-13,-9.602013e-14,8.85253e-13,-2.2777117e-14,3.3964094e-13,-1.236025e-13,4.0601385e-13,2.2793234e-13,4.3675393e-13
1.0125682e-12,4.94105e-13,8.7166743e-13,1.1113765e-12,4.549106e-13,5.642839e-13,5.5835626e-13,1.843227e-12,9.179816e-13,7.0454097e-13,2.763353e-13,4.852988e-14,3.075016e-13,1.5498703e-12,7.783439e-13,8.0965524e-13,4.4727576e-13,6.9091613e-13,-4.3595528e-13,3.7843754e-13,1.1461074e-12,1.290701e-12,1.7146704e-12,1.2537559e-12,9.0418574e-13,7.785289e-13,1.1304237e-12,1.7681713e-12,8.428382e-13,9.0504297e-13,1.5744435e-12,1.5787676e-12,1.0737249e-12,7.538583e-13,1.33105815e-14,1.5001901e-12,8.4679285e-13,1.3295285e-12,1.017879e-12,-4.2485918e-13,1.2588416e-12,1.1556935e-13,8.670636e-13,1.7509163e-12,8.9275966e-13,1.2245196e-12,8.1266927e-13,1.2669602e-12,1.1653599e-12,1.2872416e-12
1.8390596,3.846567,1.3872576,1.2857888,9.524174,1.7577989,6.130221,-0.9086503,4.2102714,1.0190407,2.2022986,4.483721,0.5799287,3.1403072,1.5867045,3.1392376,2.7465076,1.1038259,1.6319644,5.4675455,4.7839475,0.73149127,3.3725872,3.1189075,2.6950395,1.9836748,0.415006,0.88171786,0.32428178,0.9135657,2.3380647,2.8350744,0.9207022,4.3431697,-1.4277493,6.7305546,2.0567746,2.36464,1.6062852,-0.19736318,1.7409078,2.8978102,2.8911297,5.665526,2.7182102,-0.1051266,5.38462,1.5864371,2.3999588,0.8256871
2.4621193,-1.0070465,0.7873313,-0.9056681,5.868154,1.4407102,2.2255962,2.788356,0.05752879,0.11419852,0.7965586,-1.5499852,0.6481852,4.2656927,0.9179269,1.4653877,1.4040724,0.92757887,1.0439548,1.0531509,1.4743689,-0.14302815,3.4884837,1.1057557,-0.2442909,0.88934976,-0.94669956,-0.26516888,-0.2900583,1.0158412,-0.21828212,-1.8507439,-0.46469587,1.569861,-1.1078851,5.4542074,-1.1954666,2.2866132,-0.75843143,1.8631195,-0.93955946,-1.1955663,-0.91519785,3.7212462,1.9704832,-1.3070574,1.9706364,-0.01188518,-0.40291992,3.314415
4.4401913,2.2925522,0.69484025,-1.3200157,8.652949,2.2271416,2.5776553,1.2737521,0.5394068,1.1214743,1.4156446,1.2362169,2.9847155,7.3272643,1.185677,1.9860489,3.1464317,1.0275942,2.8749952,0.19439285,3.8957875,1.6608356,4.650296,1.5410094,2.5122318,1.5643924,0.23877265,0.15585838,1.7167699,1.2968578,1.2274514,0.17910539,0.7034125,1.3343742,2.2424214,6.789862,1.4808565,4.247049,1.6762481,0.7810855,0.06771066,0.6937546,0.66980827,6.5877953,3.431971,0.6082468,2.2168646,0.83139586,1.0863736,2.3430297
1.0014501,-0.9217035,-1.203378,-1.240446,4.128758,0.4203213,-2.1860476,-0.28838158,-0.14305641,-0.13632731,-0.60932946,-2.4432473,2.5821948,4.8580623,0.15586528,0.62547237,1.9373513,0.72778225,1.3283483,-3.533543,1.2207309,-0.69055986,0.47544336,-1.2447865,-0.8517871,0.29028356,-0.4983443,-1.303502,0.47881225,0.2862371,0.06442629,-0.18496747,-1.430302,-1.5144376,0.11832337,3.5868132,-0.22995175,1.3544445,-0.1967271,0.6445488,-1.4944972,-1.5257801,-1.3393831,3.2320135,2.046795,-0.817874,-0.7888322,0.7940151,-0.22174965,2.2469902
