0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.041291453,0.98600405,0.5481644,-1.1165905,4.452692,2.3231287,-2.013171,2.007126,-1.3115079,-3.3277953,1.3646051,1.8379425,1.824545,4.4905205,0.23556188,-0.08100018,-0.31789255,-1.7842021,-0.7803573,-0.8267573,2.4971728,-1.7496289,-2.45651,0.24974342,1.01785,0.73699546,-1.5237427,1.0267338,1.6256429,1.2277904,-1.6047956,0.023829082,0.4212354,0.32635716,-1.1328427,6.683927,-1.6973048,-0.16043814,0.48183954,-0.85284597,-0.618446,1.1019515,0.16460243,3.7119534,-0.58741236,1.9614499,1.4673808,-2.9395342,-0.9749183,1.8573673
-2.1968493,1.8552479,0.44122732,-2.29441,5.4095974,2.2115808,-2.9281924,-2.5522532,-0.8372888,-3.4474425,-1.6981317,2.8777628,2.8867948,6.5270195,-0.06872593,-0.8672441,-1.0185732,-2.9935627,-1.886152,0.63759273,2.348113,-0.75523716,-2.9106877,0.13860898,-0.59471893,-0.12388767,0.20639428,-0.33551347,2.3041615,-2.838406,-0.4425616,-0.27964297,-0.1180108,-0.35911268,-2.8717537,8.423265,-0.6799989,-0.24999738,-0.2773892,-0.95529777,0.25860363,0.48016828,-0.095443726,3.2487535,-1.1869392,-0.0597753,1.9994371,-1.1233767,-1.4336362,2.2646663
-0.9465157,2.663578,0.07076259,-1.4215283,4.5635605,1.0630108,-3.725009,-0.07545505,-0.9448555,-4.572283,0.34936273,3.82653,-0.5028961,5.6877947,-0.47865772,-1.2506272,-0.6009874,-2.0631545,-1.7698071,0.021110578,3.4107013,-1.851227,-2.0093033,-1.4569035,-0.5910194,-0.34950137,0.20018883,-0.8207557,-0.4314673,-4.179858,-1.3563913,0.4408329,0.98412496,-1.5429126,-2.0367086,8.164074,-1.1181376,-1.2180561,-0.099183,-0.4440434,-0.3354457,-0.39410982,-1.393362,2.8827264,-0.964747,-0.69938177,1.8711673,-1.2399431,-3.447882,0.656976
0.011792468,2.333666,-0.3972878,-1.9655216,6.132122,0.7986987,-4.4383516,0.13494419,-1.2083665,-3.1003213,0.6059402,4.729868,3.3979354,4.8981175,-0.19578761,-1.5318655,-0.50482446,-1.7254951,-1.7005893,-1.2175561,3.7589643,-2.4788857,-2.3361661,-2.3474185,-0.5885865,-0.3207131,-1.6795561,-1.7650232,3.4355934,-2.4517312,-2.8885326,-0.0152582545,1.6507864,-2.9822361,-1.1307005,6.82717,-2.1124558,0.5391119,0.8172436,-1.8373308,-1.8249346,0.6700176,-1.5115235,4.237293,-0.659989,-0.6371882,3.9326699,-2.1664178,-4.3743706,0.14553115
0.6654215,2.4429274,0.46163332,-1.0842916,5.545897,0.42979747,-1.6702517,0.58344954,0.46516556,-2.8748796,0.4055877,4.205979,0.28649294,3.5622544,0.29514346,-1.0236261,-0.6271254,0.15592897,0.480622,-0.19864129,3.9234533,-2.3973005,0.16411366,-0.12836367,0.76950735,0.8465758,1.1032712,0.5660643,1.7212932,2.888108,-0.054591827,-0.2749008,1.5159438,-0.6082166,0.933532,7.435062,-1.6429847,1.7520441,1.1632259,1.9809319,-0.17572583,1.2304368,-1.3157719,4.2023783,0.38667092,-0.7282546,3.9097202,-0.01530747,-2.0277798,-0.05047459
2.771389,2.2453938,0.69735616,-1.0096469,6.9299874,1.8549317,-0.73871547,1.9179476,0.016004227,-1.7757951,2.752735,3.2109747,1.5881243,6.611827,0.38008407,-0.82946795,0.83860075,2.2494698,0.65357435,0.35657355,4.045556,-2.6726446,-0.19444007,-0.41993943,2.299767,1.0777438,-0.4787918,-0.3628338,2.154566,3.7486138,-2.667274,-0.12764709,2.0086458,-0.5645251,-0.08412296,8.6992655,-1.3818136,2.2550051,0.81119794,2.2267566,-0.7014869,1.8294871,-1.8448365,4.228089,-0.46052486,0.49618125,4.305423,-0.41621345,-1.7021327,0.17248912
0.9164066,0.8865344,1.0362839,-0.38246664,6.1604023,1.5257775,-0.7810867,-1.344404,1.0423348,-2.2943008,0.078710765,2.8448687,4.4663887,6.2955294,1.2468246,-0.7372579,0.005316519,1.6537002,0.5152103,0.32740924,3.7667556,-2.0037355,-0.7582186,-0.15036698,-0.2961901,1.3521662,0.39332113,-1.688101,2.205026,4.0134864,0.06251812,-1.0639029,2.0511854,-0.4725251,3.2868624,7.6434526,-1.026903,2.5958993,0.15846296,1.9849019,-0.27473432,0.99610007,-2.5196786,4.8718653,0.40993452,-0.77352923,3.345743,0.6415011,-2.476246,1.0108594
-0.92090595,1.6009749,0.53007895,-0.6258102,4.397222,0.46684077,-2.9040034,0.2605434,-1.4015348,-2.994861,0.5669396,2.1877358,-2.3523755,4.702792,0.076661505,-1.6745957,-1.7207223,-0.41430354,-1.7616155,-0.82620764,3.521522,-3.069305,-2.5725615,-0.9304469,-1.5926915,0.7488809,0.6302291,-1.4658684,-0.6912787,0.67308396,-2.0875409,-2.0664966,-0.24222487,-0.87498003,-0.627606,4.7515383,-2.038119,-1.7966143,0.0476683,0.87086153,-1.130114,-0.17870612,-1.9696442,3.4602723,-1.1110268,-0.5600985,2.11054,-0.18607086,-3.8498921,0.5579503
-1.4735466,-1.5013278,-0.86930865,-2.8478613,1.4901664,-1.8322324,-6.107124,-3.671946,-2.4901457,-4.79723,-1.8784292,-2.3945649,-0.79725486,1.8362354,-1.2055651,-2.7540839,-2.548392,-3.238281,-3.2445257,-3.3785534,0.16769455,-6.214543,-6.021459,-2.605316,-4.4360766,-0.94012094,-3.1206286,-2.3383038,-0.19630605,-4.7311616,-4.4367247,-3.0992815,0.15070802,-2.2436028,-2.7105403,0.78743696,-4.3882146,-3.365957,-2.41594,-4.0382195,-5.478554,-3.112179,-3.3696604,0.9763976,-3.2272966,-1.3614825,-0.77061784,-3.0925157,-5.3783126,-1.300399
-0.9375057,-1.7862278,-1.7273648,-2.5478785,0.90777695,-1.6669964,-3.0790768,-4.330547,-0.4821817,-3.379305,-2.5325866,-2.70741,-1.5736998,2.7741828,-0.8162681,-2.6801348,-1.8984449,-2.7863257,-2.9157743,-2.941641,-0.91691774,-4.0391197,-2.9260364,-1.9134324,-3.6201494,-0.8503911,-0.86656606,-3.2818441,-1.1759837,-3.9167001,-0.40439937,-2.9661474,-0.46208325,-3.0314908,-0.44773364,4.308806,-2.636078,-1.4968876,-2.1996138,-2.5058074,-3.1169114,-3.2170417,-2.6141226,0.8273918,-1.8928471,-3.5818412,-3.249934,-0.7150317,-3.3549607,-1.2839937
