Subject,Scene,Onset,Offset
12,23,784,801
12,24,804,813
12,24,823,837
12,25,839,940
12,25,840,857
12,27,942,1035
12,29,1036,1072
12,30,1074,1111
12,31,1113,1167
12,32,1170,1194
12,33,1196,1283
12,34,1284,1333
12,35,1336,1360
12,36,1366,1396
12,37,1397,1413
12,38,1419,1513
12,38,1562,1571
12,39,1518,1541
12,40,1542,1561
12,41,1572,1581
12,42,1761,1765
12,43,1583,1589
12,44,1598,1607
12,45,1608,1657
12,46,1766,1780
12,48,1659,1717
12,49,1718,1729
12,50,1730,1760
12,50,1782,1789
12,50,1818,1823
13,2,54,70
13,3,71,77
13,4,79,89
13,5,92,121
13,7,168,194
13,8,196,207
13,10,208,232
13,11,235,259
13,12,260,289
13,13,291,353
13,14,124,165
13,15,364,409
13,16,354,362
13,16,410,509
13,19,512,559
13,21,560,567
13,22,569,618
13,24,620,649
13,25,650,678
13,26,680,697
13,30,699,717
13,31,719,754
13,33,758,777
13,34,778,803
13,35,804,828
13,36,829,866
13,37,867,885
13,38,887,901
13,38,981,1017
13,39,903,937
13,40,938,979
13,42,1019,1030
13,43,1032,1041
13,44,1044,1057
13,45,1062,1077
13,46,1206,1227
13,47,1081,1093
13,48,1095,1145
13,49,1146,1205
13,50,1228,1275
14,8,22,45
14,11,48,55
14,13,58,133
14,15,164,202
14,16,136,163
14,16,204,253
14,17,257,261
14,19,263,289
14,22,293,323
14,24,325,339
14,27,342,415
14,30,421,442
14,31,445,470
14,32,474,484
14,33,487,511
14,34,512,521
14,35,524,541
14,36,544,563
14,37,565,575
14,38,578,618
14,38,664,675
14,39,620,640
14,40,644,663
14,44,677,695
14,45,698,749
14,46,752,771
14,48,774,797
14,49,798,810
14,50,813,827
15,2,20,25
15,3,32,34
15,5,26,31
15,5,36,54
15,7,56,64
15,8,65,66
15,9,68,69
15,11,97,113
15,13,71,95
15,14,118,133
15,15,135,169
15,16,170,235
15,16,446,457
15,18,274,280
15,19,236,255
15,21,256,262
15,22,263,273
15,22,281,323
15,23,324,329
15,24,330,356
15,25,364,413
15,27,358,363
15,27,414,427
15,27,574,589
15,30,429,445
15,30,459,471
15,31,473,520
15,34,522,553
15,35,554,571
15,36,591,621
15,37,623,635
15,38,636,652
15,39,654,674
15,40,676,699
15,41,702,710
15,42,712,717
15,43,718,737
15,44,739,745
15,45,746,769
15,46,792,808
15,48,770,790
15,49,810,833
15,50,835,866
16,2,41,51
16,3,52,67
16,4,69,81
16,5,83,109
16,7,112,136
16,8,138,146
16,8,384,387
16,9,147,163
16,10,165,185
16,11,186,197
16,11,388,390
16,12,199,201
16,12,211,221
16,12,391,393
16,13,202,210
16,13,223,251
16,14,254,289
16,15,292,333
16,16,334,383
16,19,395,424
16,22,426,461
16,25,464,567
16,27,568,628
16,29,629,637
16,30,648,703
16,31,704,737
16,32,739,754
16,33,756,813
16,34,816,833
16,35,834,887
16,35,1290,1296
16,36,889,968
16,37,970,989
16,38,990,1050
16,38,1212,1234
16,39,1052,1077
16,40,1078,1135
16,41,1137,1173
16,43,1174,1183
16,44,1184,1211
16,44,1235,1251
16,45,1254,1288
16,46,1298,1315
16,47,1350,1377
16,48,1317,1348
16,49,1378,1409
16,50,1412,1440
